1 139.48 106.18 0.5
2 140.2 105.34 0.5
3 142.93 106.16 0.5
4 143.84 105.57 0.5
5 145.2 105.13 0.5
6 145.75 106.21 0.5
7 146.33 105.3 0.5
8 148.54 105.98 0.5
9 137.84 108.18 0.5
10 137.41 107.19 0.5
11 139.32 108.35 0.5
12 139.38 107.27 0.5
13 140.68 106.8 0.5
14 141.2 107.82 0.5
15 140.37 108.59 0.5
16 141.87 106.69 0.5
17 142.22 108.26 0.5
18 143.86 106.8 0.5
19 144.11 107.85 0.5
20 145.1 107.15 0.5
21 145.31 108.39 0.5
22 146.8 106.74 0.5
23 146.15 107.71 0.5
24 147.15 108.14 0.5
25 147.96 107.43 0.5
26 149.09 107.14 0.5
27 149.16 108.22 0.5
28 148.14 108.56 0.5
29 130.29 110.75 0.5
30 136.07 109.91 0.5
31 137.7 110.35 0.5
32 138.23 109.18 0.5
33 138.81 110.11 0.5
34 139.96 110.06 0.5
35 140.91 109.53 0.5
36 141.23 110.69 0.5
37 142.85 109.96 0.5
38 141.97 109.34 0.5
39 143.26 108.82 0.5
40 143.93 109.92 0.5
41 144.88 110.45 0.5
42 144.37 108.92 0.5
43 145.69 109.73 0.5
44 146.43 108.94 0.5
45 146.75 109.98 0.5
46 145.91 110.79 0.5
47 147.75 109.57 0.5
48 147.95 110.64 0.5
49 148.78 109.94 0.5
50 149.83 110.43 0.5
51 149.6 109.24 0.5
52 129.53 112.33 0.5
53 131.08 112.89 0.5
54 130.75 111.73 0.5
55 131.79 112.04 0.5
56 134.97 112.94 0.5
57 139.1 111.37 0.5
58 139.36 112.71 0.5
59 140.22 111.13 0.5
60 140.59 112.14 0.5
61 141.73 112.5 0.5
62 141.99 111.45 0.5
63 142.99 111.03 0.5
64 142.84 112.13 0.5
65 144.06 111.16 0.5
66 143.91 112.23 0.5
67 144.95 112.58 0.5
68 145.08 111.51 0.5
69 146.96 111.07 0.5
70 146.06 111.97 0.5
71 147.12 112.15 0.5
72 148.95 111.06 0.5
73 148.13 111.76 0.5
