"dragforce:0","dragforce:1","dragforce:2","f:0","f:1","f:2","v:0","v:1","v:2","c_peng","type","id","c_keng","Points:0","Points:1","Points:2"
8.8801e-06,1.797e-05,-8.6286e-06,0.00063983,-0.00032956,-1.2048e-07,-8.858e-05,4.3549e-05,-2.1304e-09,0,1,1402,3.3738e-09,139.48,106.18,0.53972
1.1271e-06,1.4945e-05,-7.6387e-06,0.0025888,-0.00024882,-5.9186e-07,-8.9805e-05,7.9599e-06,1.331e-08,0,1,89,2.8147e-09,140.2,105.34,0.53972
-0.0011775,-0.015613,0.0079802,0.2105,-0.15437,0.00089356,-0.052714,0.030324,7.912e-05,0,1,2110,0.0012807,142.93,106.16,0.53973
0.001127,0.014944,-0.0076382,-0.19979,0.15363,-0.00088615,-0.040505,-0.022265,-7.9169e-05,0,1,1788,0.00073981,143.84,105.57,0.53972
1.1348e-05,0.00026337,-0.00014373,0.0061834,0.00012545,-7.6998e-07,-0.019662,0.00043942,2.2212e-08,0,1,732,0.00013394,145.2,105.13,0.53972
-6.5927e-05,-0.0015301,0.00083503,0.0037045,0.00023395,-7.3615e-06,-0.011057,0.0030478,1.0164e-07,0,1,1816,4.5551e-05,145.75,106.21,0.53972
0.00017794,0.0041299,-0.0022538,0.0083798,0.0021188,1.0559e-06,-0.024789,-0.0057271,7.9358e-08,0,1,612,0.00022414,146.33,105.3,0.53972
6.2741e-07,1.4562e-05,-7.9468e-06,0.0061596,-0.00015373,9.0889e-07,3.6074e-06,8.8046e-07,1.0588e-08,0,1,7,4.7747e-12,148.54,105.98,0.53972
9.8493e-06,1.9931e-05,-9.5704e-06,-6.1003e-05,0.0001504,1.2342e-06,1.4476e-06,-2.7671e-06,-2.1895e-08,0,1,1119,3.3771e-12,137.84,108.18,0.53972
9.7842e-06,1.98e-05,-9.5071e-06,-6.4187e-05,0.00014022,1.1666e-06,1.4964e-06,-2.7235e-06,-2.1612e-08,0,1,350,3.3441e-12,137.41,107.19,0.53972
9.266e-06,1.8751e-05,-9.0036e-06,0.0028373,-0.00086257,4.0679e-06,4.312e-05,-1.234e-05,9.4487e-08,0,1,1000,6.9657e-10,139.32,108.35,0.53972
7.8597e-06,1.5905e-05,-7.6371e-06,0.00078443,-0.00092679,-4.3396e-06,1.3704e-05,-1.2695e-05,-6.1347e-08,0,1,211,1.2084e-10,139.38,107.27,0.53972
1.11e-06,1.4719e-05,-7.5233e-06,-0.0011556,1.0285e-06,-9.237e-07,-1.8598e-05,2.4693e-06,1.2226e-08,0,1,1190,1.2189e-10,140.68,106.8,0.53972
1.2638e-06,1.6757e-05,-8.565e-06,-0.0036848,0.00033808,6.1699e-07,7.9579e-05,-6.7992e-06,-9.0193e-09,0,1,1504,2.2089e-09,141.2,107.82,0.53972
4.9544e-05,0.00065694,-0.00033578,0.0035301,0.0057567,-4.6337e-05,-0.00055513,-0.00081243,8.6551e-07,0,1,1656,3.3528e-07,140.37,108.59,0.53972
1.1629e-06,1.542e-05,-7.8815e-06,0.0060027,-0.00053703,-7.3549e-07,1.8934e-05,-1.9752e-06,-5.5903e-09,0,1,1173,1.2549e-10,141.87,106.69,0.53972
1.1685e-06,1.5493e-05,-7.9191e-06,0.0060125,-0.00052934,-6.5469e-07,2.0757e-05,-2.1169e-06,-5.6571e-09,0,1,1567,1.5076e-10,142.22,108.26,0.53972
